




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	upload_1 (Synechocystis)
Reference List:	Synechocystis (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Synechocystis - REFLIST (3448)	upload_1 (29)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
cell-cell adhesion (GO:0098609)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to temperature stimulus (GO:0009266)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
2'-deoxyribonucleotide biosynthetic process (GO:0009265)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleotide catabolic process (GO:0009264)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleotide biosynthetic process (GO:0009263)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of RNA metabolic process (GO:0051253)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleotide metabolic process (GO:0009262)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
purine nucleoside metabolic process (GO:0042278)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
ribonucleotide catabolic process (GO:0009261)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleotide biosynthetic process (GO:0009260)	60	0	.50	-	 < 0.01	1.00E00	1.00E00
error-prone translesion synthesis (GO:0042276)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ribosomal small subunit biogenesis (GO:0042274)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
ribosomal large subunit biogenesis (GO:0042273)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription, DNA-templated (GO:0045892)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
secretion of lysosomal enzymes (GO:0033299)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
photosynthesis, dark reaction (GO:0019685)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
pentose catabolic process (GO:0019323)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
photosynthesis, light reaction (GO:0019684)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
pentose metabolic process (GO:0019321)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glyceraldehyde-3-phosphate metabolic process (GO:0019682)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
ergothioneine biosynthetic process (GO:0052699)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
hexose catabolic process (GO:0019320)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ergothioneine metabolic process (GO:0052698)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein splicing (GO:0030908)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein metabolic process (GO:0051248)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein metabolic process (GO:0051247)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of protein metabolic process (GO:0051246)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of translation (GO:0017148)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
peptidoglycan turnover (GO:0009254)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
peptidoglycan catabolic process (GO:0009253)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
peptidoglycan biosynthetic process (GO:0009252)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
glucan catabolic process (GO:0009251)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glucan biosynthetic process (GO:0009250)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
hexose biosynthetic process (GO:0019319)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of sporulation resulting in formation of a cellular spore (GO:0045881)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
propionate metabolic process, methylcitrate cycle (GO:0019679)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD catabolic process (GO:0019677)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ammonia assimilation cycle (GO:0019676)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty alcohol metabolic process (GO:1903173)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
organic acid catabolic process (GO:0016054)	32	0	.27	-	 < 0.01	1.00E00	1.00E00
NAD metabolic process (GO:0019674)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
mannosylation (GO:0097502)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
GDP-mannose metabolic process (GO:0019673)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
organic acid biosynthetic process (GO:0016053)	123	0	1.03	-	 < 0.01	6.24E-01	1.00E00
carbohydrate biosynthetic process (GO:0016051)	48	0	.40	-	 < 0.01	1.00E00	1.00E00
transposition (GO:0032196)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate (GO:0032194)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein lipoylation (GO:0009249)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
sequestering of metal ion (GO:0051238)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycolipid biosynthetic process (GO:0009247)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
detoxification of arsenic-containing substance (GO:0071722)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid A biosynthetic process (GO:0009245)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
maintenance of location (GO:0051235)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lipopolysaccharide core region biosynthetic process (GO:0009244)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
methylglyoxal catabolic process (GO:0051596)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
isopentenyl diphosphate biosynthetic process (GO:0009240)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
mature ribosome assembly (GO:0042256)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ribosome assembly (GO:0042255)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
ribosome biogenesis (GO:0042254)	36	0	.30	-	 < 0.01	1.00E00	1.00E00
dTDP-rhamnose biosynthetic process (GO:0019305)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular component organization (GO:0016043)	107	0	.90	-	 < 0.01	1.00E00	1.00E00
lipid catabolic process (GO:0016042)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine methylation (GO:0018216)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein phosphopantetheinylation (GO:0018215)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
septin cytoskeleton organization (GO:0032185)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sister chromatid cohesion (GO:0007062)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein unfolding (GO:0043335)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-tyrosine modification (GO:0018212)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cobalamin biosynthetic process (GO:0009236)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
cobalamin metabolic process (GO:0009235)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
menaquinone biosynthetic process (GO:0009234)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
menaquinone metabolic process (GO:0009233)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
riboflavin biosynthetic process (GO:0009231)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
oxidative demethylation (GO:0070989)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
demethylation (GO:0070988)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein kinase activity (GO:0045860)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
biological process involved in interspecies interaction between organisms (GO:0044419)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
light absorption (GO:0016037)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chromosome segregation (GO:0007059)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cytoskeleton-dependent cytokinesis (GO:0061640)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-serine modification (GO:0018209)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-proline modification (GO:0018208)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
peptidyl-methionine modification (GO:0018206)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
copper ion transmembrane transport (GO:0035434)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine modification (GO:0018205)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
post-translational protein modification (GO:0043687)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
thiamine diphosphate biosynthetic process (GO:0009229)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
peptidyl-histidine modification (GO:0018202)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
protein carbamoylation (GO:0046944)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
co-translational protein modification (GO:0043686)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
thiamine biosynthetic process (GO:0009228)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
nucleotide-sugar biosynthetic process (GO:0009226)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
nucleotide-sugar metabolic process (GO:0009225)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
nucleoside monophosphate phosphorylation (GO:0046940)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
red, far-red light phototransduction (GO:0009585)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleotide catabolic process (GO:0009223)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein kinase activity (GO:0045859)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleotide catabolic process (GO:0009222)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
detection of visible light (GO:0009584)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
detection of light stimulus (GO:0009583)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleotide biosynthetic process (GO:0009221)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
detection of abiotic stimulus (GO:0009582)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleotide biosynthetic process (GO:0009220)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
detection of external stimulus (GO:0009581)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
response to starvation (GO:0042594)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
homeostatic process (GO:0042592)	34	0	.29	-	 < 0.01	1.00E00	1.00E00
protein localization to endoplasmic reticulum (GO:0070972)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
aerobic electron transport chain (GO:0019646)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
CDP-diacylglycerol biosynthetic process (GO:0016024)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell cycle (GO:0007049)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
multi-organism cellular process (GO:0044764)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclic purine nucleotide metabolic process (GO:0052652)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleotide metabolic process (GO:0009219)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleotide metabolic process (GO:0009218)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleoside triphosphate catabolic process (GO:0009217)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein insertion into membrane (GO:0051205)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleoside triphosphate metabolic process (GO:0009215)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside triphosphate catabolic process (GO:0009213)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside triphosphate biosynthetic process (GO:0009212)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
phytochromobilin metabolic process (GO:0051202)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside triphosphate metabolic process (GO:0009211)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside triphosphate catabolic process (GO:0009210)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to oxygen radical (GO:0000305)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to superoxide (GO:0000303)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to reactive oxygen species (GO:0000302)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
shikimate metabolic process (GO:0019632)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
canonical glycolysis (GO:0061621)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
quinate catabolic process (GO:0019631)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycolytic process through glucose-6-phosphate (GO:0061620)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
quinate metabolic process (GO:0019630)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alditol phosphate metabolic process (GO:0052646)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
peroxisome organization (GO:0007031)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside triphosphate biosynthetic process (GO:0009209)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside triphosphate metabolic process (GO:0009208)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside triphosphate metabolic process (GO:0009205)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside triphosphate catabolic process (GO:0009204)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleoside triphosphate catabolic process (GO:0009203)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside triphosphate biosynthetic process (GO:0009202)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular modified amino acid catabolic process (GO:0042219)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
ribonucleoside triphosphate biosynthetic process (GO:0009201)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside triphosphate metabolic process (GO:0009200)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
terpene metabolic process (GO:0042214)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
propionate catabolic process, 2-methylcitrate cycle (GO:0019629)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
urea metabolic process (GO:0019627)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
short-chain fatty acid catabolic process (GO:0019626)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
charged-tRNA amino acid modification (GO:0019988)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycolytic process through fructose-6-phosphate (GO:0061615)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
translesion synthesis (GO:0019985)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
activation of protein kinase activity (GO:0032147)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular transition metal ion homeostasis (GO:0046916)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
mismatch repair (GO:0006298)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid biosynthetic process (GO:0043650)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
diol biosynthetic process (GO:0034312)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
formation of translation preinitiation complex (GO:0001731)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
diol metabolic process (GO:0034311)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine dimer repair (GO:0006290)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
defense response to symbiont (GO:0140546)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
intracellular transport (GO:0046907)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid catabolic process (GO:0043649)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid metabolic process (GO:0043648)	32	0	.27	-	 < 0.01	1.00E00	1.00E00
cytoskeleton organization (GO:0007010)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol phosphate metabolic process (GO:0043647)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of bacterial-type flagellum-dependent cell motility (GO:1902021)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
primary alcohol biosynthetic process (GO:0034309)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair (GO:0006289)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolylpolyglutamate biosynthetic process (GO:0046901)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
primary alcohol metabolic process (GO:0034308)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolylpolyglutamate metabolic process (GO:0046900)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
base-excision repair, DNA ligation (GO:0006288)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
base-excision repair, AP site formation (GO:0006285)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pteridine-containing compound biosynthetic process (GO:0042559)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
base-excision repair (GO:0006284)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
pteridine-containing compound metabolic process (GO:0042558)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
transcription-coupled nucleotide-excision repair (GO:0006283)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleoside phosphate biosynthetic process (GO:1901293)	80	0	.67	-	 < 0.01	1.00E00	1.00E00
ncRNA catabolic process (GO:0034661)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ncRNA metabolic process (GO:0034660)	87	0	.73	-	 < 0.01	1.00E00	1.00E00
DNA methylation or demethylation (GO:0044728)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
siderophore-dependent iron import into cell (GO:0033214)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
trans-translation-dependent protein tagging (GO:0070930)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
iron import into cell (GO:0033212)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of locomotion (GO:0040013)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of locomotion (GO:0040012)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of protein modification process (GO:0031399)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing small molecule catabolic process (GO:0034656)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of DNA replication (GO:0006275)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA replication termination (GO:0006274)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
photosystem II stabilization (GO:0042549)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing compound biosynthetic process (GO:0034654)	130	0	1.09	-	 < 0.01	6.26E-01	1.00E00
regulation of photosynthesis, light reaction (GO:0042548)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
trans-translation (GO:0070929)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of metabolic process (GO:0009892)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
cell wall biogenesis (GO:0042546)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
DNA strand elongation involved in DNA replication (GO:0006271)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of biosynthetic process (GO:0009890)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
DNA replication initiation (GO:0006270)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
organelle assembly (GO:0070925)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
response to hydrogen peroxide (GO:0042542)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lactate catabolic process (GO:1903457)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
siderophore transmembrane transport (GO:0044718)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of developmental process (GO:0050793)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
asexual reproduction (GO:0019954)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of catalytic activity (GO:0050790)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
ncRNA 3'-end processing (GO:0043628)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of growth (GO:0040008)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty acid transmembrane transport (GO:1902001)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular protein complex disassembly (GO:0043624)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
DNA replication, synthesis of RNA primer (GO:0006269)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA unwinding involved in DNA replication (GO:0006268)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA ligation (GO:0006266)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA topological change (GO:0006265)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
organic acid phosphorylation (GO:0031388)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular macromolecule biosynthetic process (GO:0034645)	194	0	1.63	-	 < 0.01	4.06E-01	1.00E00
benzene-containing compound metabolic process (GO:0042537)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA-dependent DNA replication (GO:0006261)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
DNA replication (GO:0006260)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
lipooligosaccharide biosynthetic process (GO:1901271)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
unsaturated fatty acid metabolic process (GO:0033559)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sodium ion transmembrane transport (GO:0035725)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
lipooligosaccharide metabolic process (GO:1901269)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
cellular carbohydrate biosynthetic process (GO:0034637)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
carbohydrate derivative transport (GO:1901264)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
amide transport (GO:0042886)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
rRNA 5'-end processing (GO:0000967)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA 5'-end processing (GO:0000966)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of inorganic anion transmembrane transport (GO:1903796)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of inorganic anion transmembrane transport (GO:1903795)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of anion transport (GO:1903792)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
second-messenger-mediated signaling (GO:0019932)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular amide catabolic process (GO:0043605)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
amide biosynthetic process (GO:0043604)	125	0	1.05	-	 < 0.01	6.24E-01	1.00E00
cellular amide metabolic process (GO:0043603)	150	0	1.26	-	 < 0.01	6.35E-01	1.00E00
'de novo' NAD biosynthetic process from aspartate (GO:0034628)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
'de novo' NAD biosynthetic process (GO:0034627)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment of protein localization to membrane (GO:0090150)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide catabolic process (GO:0006244)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular protein-containing complex assembly (GO:0034622)	26	0	.22	-	 < 0.01	1.00E00	1.00E00
CTP biosynthetic process (GO:0006241)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
fluoride transmembrane transport (GO:1903424)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-valine transmembrane transport (GO:1903785)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein transport by the Tat complex (GO:0043953)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein transport by the Sec complex (GO:0043952)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
dTTP biosynthetic process (GO:0006235)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
polyamine biosynthetic process (GO:0006596)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
photorespiration (GO:0009853)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
polyamine metabolic process (GO:0006595)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular response to reactive oxygen species (GO:0034614)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dTDP biosynthetic process (GO:0006233)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular protein localization (GO:0034613)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
dTMP biosynthetic process (GO:0006231)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ornithine biosynthetic process (GO:0006592)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ornithine metabolic process (GO:0006591)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine methylation, to symmetrical-dimethyl arginine (GO:0019918)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
clearance of foreign intracellular nucleic acids (GO:0099046)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
chromosome condensation (GO:0030261)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dUTP biosynthetic process (GO:0006229)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UTP biosynthetic process (GO:0006228)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dUDP biosynthetic process (GO:0006227)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ribosome disassembly (GO:0032790)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
UDP biosynthetic process (GO:0006225)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
indolalkylamine metabolic process (GO:0006586)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
cellular response to heat (GO:0034605)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
uracil salvage (GO:0006223)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UMP biosynthetic process (GO:0006222)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide biosynthetic process (GO:0006221)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide metabolic process (GO:0006220)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
L-alanine catabolic process (GO:0042853)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid glycosylation (GO:0030259)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid modification (GO:0030258)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
L-alanine metabolic process (GO:0042851)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ribonucleoside bisphosphate metabolic process (GO:0033875)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of molecular function (GO:0065009)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of biological quality (GO:0065008)	62	0	.52	-	 < 0.01	1.00E00	1.00E00
negative regulation of RNA biosynthetic process (GO:1902679)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of sporulation (GO:0043938)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-containing complex assembly (GO:0065003)	28	0	.24	-	 < 0.01	1.00E00	1.00E00
regulation of sporulation (GO:0043937)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
